,id,nombre,status
0,082710,Llano Chico,activo
1,442493,Yaruquí,activo
2,543704,San Antonio de Pichincha,activo
3,505009,Puembo,activo
4,886468,Guamaní,activo
5,189066,Puengasí,activo
6,058143,Jipijapa,activo
7,868773,Nayon,activo
8,703406,La Merced,activo
9,544844,Calderon,activo
10,817899,Guayllabamba,activo
11,863699,La Ferroviaria,activo
12,951432,Cochapamba,activo
13,974382,Cochapamba,activo
14,239400,Zambiza,activo
15,053152,Guamaní,activo
16,850173,Chavezpamba,activo
17,186851,Cotocollao,activo
18,178722,Iñaquito,activo
19,150007,Centro Historico,activo
20,525409,Nayon,activo
21,856397,"La Libertad, La Mena",activo
22,853714,Guangopolo,activo
23,940296,Pifo,activo
24,995296,Jipijapa,activo
25,681479,Puéllaro,activo
26,687111,"La Libertad, La Mena",activo
27,176122,Carcelen,activo
28,476009,Itchimbia,activo
29,191394,Pacto,activo
30,810042,Tumbaco,activo
31,858307,Kennedy,activo
32,113871,Calacali,activo
33,477630,Ponceano,activo
34,479063,Píntag,activo
35,940469,El Condado,activo
36,638595,Yaruquí,activo
37,089891,Cochapamba,activo
38,885767,San Antonio de Pichincha,activo
39,252302,Kennedy,activo
40,209714,Quitumbe,activo
41,546469,San Antonio de Pichincha,activo
42,950841,Pacto,activo
43,956463,Puéllaro,activo
44,863805,Concepción,activo
45,523997,Rumipamba,activo
46,992318,Quitumbe,activo
47,508639,Solanda,activo
48,952813,La Merced,activo
49,528657,Puengasí,activo
50,119550,Ponceano,activo
51,201170,Guayllabamba,activo
52,660773,Pomasqui,activo
53,116494,Pifo,activo
54,951969,Atahualpa,activo
55,183205,Nanegalito,activo
56,083906,Yaruquí,activo
57,115548,Nono,activo
58,188751,Nanegalito,activo
59,178049,Cumbayá,activo
60,139090,Calacali,activo
61,172957,Solanda,activo
62,259085,Atahualpa,activo
63,527391,Guangopolo,activo
64,863234,Carcelen,activo
65,860331,Chilibulo,activo
66,186797,Chillogallo,activo
67,177517,Mariscal Sucre,activo
68,111778,Chimbacalle,activo
69,707971,Carcelen,activo
70,709584,Rumipamba,activo
71,050359,Comite del Pueblo,activo
72,253490,Chilibulo,activo
73,110352,Concepción,activo
74,911487,El Condado,activo
75,709234,Pifo,activo
76,445729,Puembo,activo
77,172477,Comite del Pueblo,activo
78,815749,La Ferroviaria,activo
79,132733,Iñaquito,activo
80,634860,Turubamba,activo
81,117456,Calacali,activo
82,739834,Chimbacalle,activo
83,208531,Cumbayá,activo
84,250873,Guayllabamba,activo
85,259752,Gualea,activo
86,150407,Guangopolo,activo
87,704142,Iñaquito,activo
88,814535,Zambiza,activo
89,700485,La Ferroviaria,activo
90,739367,Guamaní,activo
91,528957,Yaruquí,activo
92,633938,Centro Historico,activo
93,916601,Chimbacalle,activo
94,202135,Ponceano,activo
95,815518,Nanegalito,activo
96,855944,Itchimbia,activo
97,868847,"Lloa, Nanegal",activo
98,503250,Píntag,activo
99,136917,Rumipamba,activo
100,476020,Mariscal Sucre,activo
101,913434,Centro Historico,activo
102,669519,Iñaquito,activo
103,541037,Calacali,activo
104,276854,Iñaquito,activo
105,816957,Centro Historico,activo
106,150827,Pifo,activo
107,255325,La Merced,activo
108,912489,Amaguaña,activo
109,951322,"La Libertad, La Mena",activo
110,731436,Concepción,activo
111,277221,Magdalena,activo
112,050811,Ponceano,activo
113,941105,Tababela,activo
114,521353,La Merced,activo
115,868164,"Lloa, Nanegal",activo
116,257270,Calderon,activo
117,522911,Píntag,activo
118,544393,Tababela,activo
119,521809,Jipijapa,activo
120,973215,Perucho,activo
121,810083,Carcelen,activo
122,200341,San Juan,activo
123,885380,Perucho,activo
124,190593,Nayon,activo
125,479988,La Argelia,activo
126,278484,Rumipamba,activo
127,733807,Chavezpamba,activo
